Time,Channel B
(ms),(mV)

-0.84140571,190.35920000
-0.84108571,190.35920000
-0.84076571,190.35920000
-0.84044571,190.35920000
-0.84012571,185.88820000
-0.83980571,190.35920000
-0.83948571,185.88820000
-0.83916571,190.35920000
-0.83884571,185.88820000
-0.83852571,185.88820000
-0.83820571,185.88820000
-0.83788571,185.88820000
-0.83756571,185.88820000
-0.83724571,185.88820000
-0.83692571,185.88820000
-0.83660571,185.88820000
-0.83628571,185.88820000
-0.83596571,185.88820000
-0.83564571,185.88820000
-0.83532571,185.88820000
-0.83500571,185.88820000
-0.83468571,185.88820000
-0.83436571,185.88820000
-0.83404571,181.40200000
-0.83372571,181.40200000
-0.83340571,181.40200000
-0.83308571,181.40200000
-0.83276571,181.40200000
-0.83244571,181.40200000
-0.83212571,181.40200000
-0.83180571,181.40200000
-0.83148571,181.40200000
-0.83116571,181.40200000
-0.83084571,181.40200000
-0.83052571,181.40200000
-0.83020571,181.40200000
-0.82988571,181.40200000
-0.82956571,181.40200000
-0.82924571,181.40200000
-0.82892571,181.40200000
-0.82860571,176.93100000
-0.82828571,181.40200000
-0.82796571,181.40200000
-0.82764571,176.93100000
-0.82732571,176.93100000
-0.82700571,176.93100000
-0.82668571,176.93100000
-0.82636571,176.93100000
-0.82604571,176.93100000
-0.82572571,176.93100000
-0.82540571,176.93100000
-0.82508571,176.93100000
-0.82476571,176.93100000
-0.82444571,176.93100000
-0.82412571,176.93100000
-0.82380571,176.93100000
-0.82348571,176.93100000
-0.82316571,172.46010000
-0.82284571,172.46010000
-0.82252571,172.46010000
-0.82220571,172.46010000
-0.82188571,176.93100000
-0.82156571,172.46010000
-0.82124571,172.46010000
-0.82092571,172.46010000
-0.82060571,172.46010000
-0.82028571,172.46010000
-0.81996571,172.46010000
-0.81964571,172.46010000
-0.81932571,172.46010000
-0.81900571,172.46010000
-0.81868571,167.97390000
-0.81836571,172.46010000
-0.81804571,172.46010000
-0.81772571,172.46010000
-0.81740571,167.97390000
-0.81708571,167.97390000
-0.81676571,167.97390000
-0.81644571,167.97390000
-0.81612571,167.97390000
-0.81580571,167.97390000
-0.81548571,167.97390000
-0.81516571,167.97390000
-0.81484571,167.97390000
-0.81452571,167.97390000
-0.81420571,167.97390000
-0.81388571,167.97390000
-0.81356571,167.97390000
-0.81324571,167.97390000
-0.81292571,167.97390000
-0.81260571,167.97390000
-0.81228571,167.97390000
-0.81196571,163.50290000
-0.81164571,167.97390000
-0.81132571,163.50290000
-0.81100571,163.50290000
-0.81068571,163.50290000
-0.81036571,163.50290000
-0.81004571,163.50290000
-0.80972571,163.50290000
-0.80940571,163.50290000
-0.80908571,163.50290000
-0.80876571,163.50290000
-0.80844571,163.50290000
-0.80812571,163.50290000
-0.80780571,163.50290000
-0.80748571,163.50290000
-0.80716571,163.50290000
-0.80684571,163.50290000
-0.80652571,163.50290000
-0.80620571,163.50290000
-0.80588571,159.01670000
-0.80556571,163.50290000
-0.80524571,159.01670000
-0.80492571,159.01670000
-0.80460571,159.01670000
-0.80428571,159.01670000
-0.80396571,159.01670000
-0.80364571,159.01670000
-0.80332571,159.01670000
-0.80300571,159.01670000
-0.80268571,159.01670000
-0.80236571,159.01670000
-0.80204571,159.01670000
-0.80172571,159.01670000
-0.80140571,159.01670000
-0.80108571,159.01670000
-0.80076571,159.01670000
-0.80044571,154.54570000
-0.80012571,159.01670000
-0.79980571,154.54570000
-0.79948571,154.54570000
-0.79916571,154.54570000
-0.79884571,154.54570000
-0.79852571,154.54570000
-0.79820571,154.54570000
-0.79788571,154.54570000
-0.79756571,154.54570000
-0.79724571,154.54570000
-0.79692571,154.54570000
-0.79660571,150.07480000
-0.79628571,150.07480000
-0.79596571,150.07480000
-0.79564571,150.07480000
-0.79532571,154.54570000
-0.79500571,150.07480000
-0.79468571,154.54570000
-0.79436571,154.54570000
-0.79404571,150.07480000
-0.79372571,150.07480000
-0.79340571,150.07480000
-0.79308571,150.07480000
-0.79276571,150.07480000
-0.79244571,150.07480000
-0.79212571,150.07480000
-0.79180571,150.07480000
-0.79148571,150.07480000
-0.79116571,150.07480000
-0.79084571,150.07480000
-0.79052571,150.07480000
-0.79020571,150.07480000
-0.78988571,145.58850000
-0.78956571,145.58850000
-0.78924571,145.58850000
-0.78892571,145.58850000
-0.78860571,145.58850000
-0.78828571,145.58850000
-0.78796571,145.58850000
-0.78764571,145.58850000
-0.78732571,145.58850000
-0.78700571,145.58850000
-0.78668571,145.58850000
-0.78636571,145.58850000
-0.78604571,145.58850000
-0.78572571,145.58850000
-0.78540571,145.58850000
-0.78508571,145.58850000
-0.78476571,141.11760000
-0.78444571,145.58850000
-0.78412571,145.58850000
-0.78380571,145.58850000
-0.78348571,145.58850000
-0.78316571,145.58850000
-0.78284571,145.58850000
-0.78252571,145.58850000
-0.78220571,141.11760000
-0.78188571,141.11760000
-0.78156571,141.11760000
-0.78124571,141.11760000
-0.78092571,141.11760000
-0.78060571,141.11760000
-0.78028571,141.11760000
-0.77996571,141.11760000
-0.77964571,141.11760000
-0.77932571,141.11760000
-0.77900571,141.11760000
-0.77868571,141.11760000
-0.77836571,141.11760000
-0.77804571,141.11760000
-0.77772571,141.11760000
-0.77740571,141.11760000
-0.77708571,141.11760000
-0.77676571,136.63140000
-0.77644571,141.11760000
-0.77612571,136.63140000
-0.77580571,141.11760000
-0.77548571,136.63140000
-0.77516571,136.63140000
-0.77484571,136.63140000
-0.77452571,136.63140000
-0.77420571,136.63140000
-0.77388571,136.63140000
-0.77356571,136.63140000
-0.77324571,132.16040000
-0.77292571,136.63140000
-0.77260571,136.63140000
-0.77228571,132.16040000
-0.77196571,136.63140000
-0.77164571,132.16040000
-0.77132571,132.16040000
-0.77100571,132.16040000
-0.77068571,136.63140000
-0.77036571,132.16040000
-0.77004571,132.16040000
-0.76972571,132.16040000
-0.76940571,132.16040000
-0.76908571,132.16040000
-0.76876571,132.16040000
-0.76844571,132.16040000
-0.76812571,132.16040000
-0.76780571,132.16040000
-0.76748571,132.16040000
-0.76716571,132.16040000
-0.76684571,132.16040000
-0.76652571,132.16040000
-0.76620571,132.16040000
-0.76588571,132.16040000
-0.76556571,132.16040000
-0.76524571,132.16040000
