Time,Channel A,Channel B
(ms),(mV),(V)

4.87106414,-40.05554000,-0.98556480
4.87362414,-44.51125000,-0.98556480
4.87618414,-40.05554000,-0.98556480
4.87874414,-40.05554000,-0.98556480
4.88130414,-44.51125000,-0.98556480
4.88386414,-48.96695000,-0.98556480
4.88642414,-40.05554000,-1.00351000
4.88898414,-40.05554000,-0.98556480
4.89154414,-44.51125000,-0.98556480
4.89410414,-40.05554000,-1.00351000
4.89666414,-44.51125000,-0.98556480
4.89922414,-44.51125000,-0.98556480
4.90178414,-48.96695000,-0.98556480
4.90434414,-40.05554000,-1.00351000
4.90690414,-44.51125000,-0.98556480
4.90946414,-40.05554000,-0.98556480
4.91202414,-40.05554000,-0.98556480
4.91458414,-44.51125000,-0.98556480
4.91714414,-40.05554000,-0.98556480
4.91970414,-44.51125000,-0.98556480
4.92226414,-40.05554000,-0.98556480
4.92482414,-40.05554000,-0.96768090
4.92738414,-40.05554000,-0.98556480
4.92994414,-40.05554000,-1.00351000
4.93250414,-40.05554000,-1.00351000
4.93506414,-40.05554000,-0.98556480
4.93762414,-40.05554000,-0.98556480
4.94018414,-35.61510000,-0.98556480
4.94274414,-40.05554000,-0.96768090
4.94530414,-35.61510000,-0.98556480
4.94786414,-35.61510000,-0.98556480
4.95042414,-35.61510000,-0.98556480
4.95298414,-35.61510000,-0.98556480
4.95554414,-40.05554000,-0.98556480
4.95810414,-35.61510000,-0.98556480
4.96066414,-35.61510000,-0.98556480
4.96322414,-31.15940000,-1.00351000
4.96578414,-35.61510000,-1.00351000
4.96834414,-31.15940000,-0.98556480
4.97090414,-35.61510000,-0.98556480
4.97346414,-31.15940000,-1.00351000
4.97602414,-26.70370000,-0.98556480
4.97858414,-31.15940000,-0.98556480
4.98114414,-26.70370000,-0.98556480
4.98370414,-31.15940000,-0.98556480
4.98626414,-31.15940000,-0.98556480
4.98882414,-35.61510000,-0.98556480
4.99138414,-26.70370000,-0.98556480
4.99394414,-31.15940000,-0.98556480
4.99650414,-31.15940000,-1.00351000
4.99906414,-17.79229000,-0.35816520
